表名,字段,中文意思,定义（含公式）,数据样例,备注,字段类型,数据层,表粒度,键角色,HTML映射,接入方式
11_增量实验Holdout_Experiment_样例,assignedUsers,分组用户数 N,组内分配用户数（Nt/Nc）,10000,增量首贷公式：ΔY = Yt − Yc × Nt/Nc（ITT，组规模归一）,原始字段,补充证据层-样例,experimentId+group,普通字段,手工录入增量实验模块,手工录入
11_增量实验Holdout_Experiment_样例,firstLoanUsers,组内首贷数 Y,组内新客首贷数（Yt/Yc）,1000,去重首贷；所有已分组用户均纳入分母,原始字段,补充证据层-样例,experimentId+group,普通字段,手工录入增量实验模块,手工录入
11_增量实验Holdout_Experiment_样例,adSpendAud,组内广告费 S,组内广告费 AUD（St/Sc）,20000,增量 CAC = (St − Sc×Nt/Nc) ÷ Δ首贷，需 ΔS>0 且 ΔY>0；对照组可为 0（渠道关闭实验）,原始字段,补充证据层-样例,experimentId+group,普通字段,手工录入增量实验模块,手工录入
11_增量实验Holdout_Experiment_样例,contributionAud,组内贡献 V,组内全渠道同口径贡献 AUD（Vt/Vc），不含本金,450000,增量贡献 ROAS = (Vt−Vc×Nt/Nc) ÷ (St−Sc×Nt/Nc)；需贡献方差/聚类信息出区间,原始字段,补充证据层-样例,experimentId+group,普通字段,手工录入增量实验模块,手工录入
12_媒体投放费用明细_MediaBilling_样例,month,月份,月份，格式 YYYY-MM（与真实月报一致）,2026-06,,原始字段,补充证据层-样例,month+channel+campaign,主键组成,当前不直接导入HTML,上游核对/分析层关联
12_媒体投放费用明细_MediaBilling_样例,channel,渠道,渠道（含真实月报层的 Bing/Lead Partner/GEO/Owned Channels）,Google Search,,原始字段,补充证据层-样例,month+channel+campaign,主键组成,当前不直接导入HTML,上游核对/分析层关联
12_媒体投放费用明细_MediaBilling_样例,campaign,Campaign,媒体 Campaign,AU_Search_Brand,,原始字段,补充证据层-样例,month+channel+campaign,主键组成,当前不直接导入HTML,上游核对/分析层关联
12_媒体投放费用明细_MediaBilling_样例,currency,币种,币种（样例 AUD）,AUD,即看板「currency 待确认」口径的确认入口,原始字段,补充证据层-样例,month+channel+campaign,普通字段,当前不直接导入HTML,上游核对/分析层关联
12_媒体投放费用明细_MediaBilling_样例,mediaCost,媒体费,媒体服务日账单口径费用 AUD,18000,与 08 的 Cohort 分摊口径不同，勿混算；用于核对 CPFL 上游（03）,原始字段,补充证据层-样例,month+channel+campaign,普通字段,当前不直接导入HTML,上游核对/分析层关联
12_媒体投放费用明细_MediaBilling_样例,impressions,曝光,当月曝光次数,692308,CPM = mediaCost ÷ impressions × 1000,原始字段,补充证据层-样例,month+channel+campaign,普通字段,当前不直接导入HTML,上游核对/分析层关联
12_媒体投放费用明细_MediaBilling_样例,clicks,点击,当月点击次数,19385,CTR = clicks ÷ impressions ×100%；CPC = mediaCost ÷ clicks,原始字段,补充证据层-样例,month+channel+campaign,普通字段,当前不直接导入HTML,上游核对/分析层关联
13_月度渠道质量样本量_GreenN_样例,month,月份,月份，格式 YYYY-MM,2026-01,看板点名：真实 Green 表「缺样本量及分层定义」,原始字段,补充证据层-样例,month+channel,主键组成,当前不直接导入HTML,上游核对/分析层关联
13_月度渠道质量样本量_GreenN_样例,channel,渠道,渠道枚举与 04 一致,Tiktok,,原始字段,补充证据层-样例,month+channel,主键组成,当前不直接导入HTML,上游核对/分析层关联
13_月度渠道质量样本量_GreenN_样例,green_n,绿色样本数,当月该渠道绿色分层判定样本数,1,四列合计 = 该渠道当月判定样本总量；样例比例与 04 对齐（误差 ≤0.5pp 舍入）,加工字段,补充证据层-样例,month+channel,普通字段,当前不直接导入HTML,上游核对/分析层关联
13_月度渠道质量样本量_GreenN_样例,orange_n,橙色样本数,当月橙色分层判定样本数,2,同上,加工字段,补充证据层-样例,month+channel,普通字段,当前不直接导入HTML,上游核对/分析层关联
13_月度渠道质量样本量_GreenN_样例,red_n,红色样本数,当月红色分层判定样本数,7,同上,加工字段,补充证据层-样例,month+channel,普通字段,当前不直接导入HTML,上游核对/分析层关联
13_月度渠道质量样本量_GreenN_样例,na_n,未判定样本数,当月未判定（NA）样本数,2,用于核验 Green% 分母；小样本渠道（Tiktok/Meta 不足百笔）占比不可信,加工字段,补充证据层-样例,month+channel,普通字段,当前不直接导入HTML,上游核对/分析层关联
14_回传事件时戳明细_PostbackTimestamps_样例,eventId,事件 ID,与 09 的 eventId 一致（仅已发送事件）,EV-2001-approved,看板词典：P90 时延「正式需 event_time/first_sent_time」,原始字段,补充证据层-样例,eventId,主键组成,当前不直接导入HTML,上游核对/分析层关联
14_回传事件时戳明细_PostbackTimestamps_样例,businessKey,业务键,与 09 的 businessKey 一致,APP-2001:approved,,加工字段,补充证据层-样例,eventId,普通字段,当前不直接导入HTML,上游核对/分析层关联
14_回传事件时戳明细_PostbackTimestamps_样例,event,事件类型,与 09 的 event 一致,approved,,原始字段,补充证据层-样例,eventId,普通字段,当前不直接导入HTML,上游核对/分析层关联
14_回传事件时戳明细_PostbackTimestamps_样例,eventTime,业务事件时间,业务事件发生时间，格式 YYYY-MM-DD HH:MM（Sydney 本地时间）,5/4/2026 18:21,上游加工字段；组装 JSON 时不导入,加工字段,补充证据层-样例,eventId,普通字段,当前不直接导入HTML,上游核对/分析层关联
14_回传事件时戳明细_PostbackTimestamps_样例,firstSentTime,首次发送时间,首次发送时间；公式 = eventTime + 发送时延,5/4/2026 18:32,同上；不把上传日当事件日,加工字段,补充证据层-样例,eventId,普通字段,当前不直接导入HTML,上游核对/分析层关联
14_回传事件时戳明细_PostbackTimestamps_样例,latencyMin,时延分钟,时延分钟数；公式 = firstSentTime − eventTime,11,与 09 的 latency 完全一致（样例 57 行一一对应）,加工字段,补充证据层-样例,eventId,普通字段,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,month,月份,月份，格式 YYYY-MM,2026-07,平台侧导出模板；看板本身不伪造平台 DDA 报表,原始字段,补充证据层-样例,month+campaign+conversionAction,主键组成,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,campaign,Campaign,Google Campaign（与 12 的 Google 行一致）,AU_Search_Brand,,原始字段,补充证据层-样例,month+campaign+conversionAction,主键组成,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,conversionAction,转化动作,枚举：application_submitted / qualified_lead / application_approved / loan_funded,application_submitted,与 09 的 event 对应，用于「按 Conversion Action 对账」,原始字段,补充证据层-样例,month+campaign+conversionAction,主键组成,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,currency,币种,币种（样例 AUD）,AUD,,原始字段,补充证据层-样例,month+campaign+conversionAction,普通字段,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,cost,Campaign 费用,该 Campaign 当月费用 AUD（与 12 的 mediaCost 对齐）,21000,平台导出按动作行重复；加总时按 Campaign 去重，勿跨动作加总,原始字段,补充证据层-样例,month+campaign+conversionAction,普通字段,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,clicks,点击,该 Campaign 当月点击（与 12 对齐）,22615,,原始字段,补充证据层-样例,month+campaign+conversionAction,普通字段,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,conversions,平台转化数,平台统计的该动作转化次数,52,对账用法：与 09 内部回传的 Reported 对比，差异即归因丢失/重复来源,原始字段,补充证据层-样例,month+campaign+conversionAction,普通字段,当前不直接导入HTML,上游核对/分析层关联
15_Google平台对账报表_GoogleAdsReport_样例,conversionValue,转化价值,平台转化价值 AUD（样例 loan_funded 按 7500/笔）,0,平台 DDA 口径与公司业务键口径允许不一致，差异要解释而不是抹平,原始字段,补充证据层-样例,month+campaign+conversionAction,普通字段,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,experimentId,实验编号,Geo Lift 实验唯一编号,GEO-2026-02,看板证据表点名「未提供真实地域试验」，本表为证据方法输入,原始字段,补充证据层-样例,experimentId+region+group,主键组成,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,experimentName,实验名称,实验名称,QLD+VIC 品牌搜索投放增量（Geo Lift）,,原始字段,补充证据层-样例,experimentId+region+group,普通字段,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,region,地域,州（地域为随机化/聚类单元）,QLD,,原始字段,补充证据层-样例,experimentId+region+group,主键组成,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,group,分组,test=投放增量地域；control=维持原投放地域,test,,原始字段,补充证据层-样例,experimentId+region+group,主键组成,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,periodStart,实验开始,实验期开始日期,5/1/2026,,原始字段,补充证据层-样例,experimentId+region+group,普通字段,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,periodEnd,实验结束,实验期结束日期,6/30/2026,,原始字段,补充证据层-样例,experimentId+region+group,普通字段,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,prePeriodFirstLoans,实验前首贷基线,实验前同周期首贷数（基线平衡检查）,380,test/control 的 prePeriod 差异需检验,原始字段,补充证据层-样例,experimentId+region+group,普通字段,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,mediaSpendAud,实验期媒体费,实验期媒体费 AUD,58000,地域级投放差异构成干预,原始字段,补充证据层-样例,experimentId+region+group,普通字段,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,firstLoanUsers,实验期首贷数,实验期新客首贷数,425,因果效果需按地域聚类推断，出区间估计,原始字段,补充证据层-样例,experimentId+region+group,普通字段,当前不直接导入HTML,上游核对/分析层关联
16_地域实验GeoLift_GeoExperiment_样例,contributionAud,实验期贡献,实验期贡献 AUD（不含本金）,191000,验证重点：地域随机化、基线平衡、跨区污染（用户跨州）,原始字段,补充证据层-样例,experimentId+region+group,普通字段,当前不直接导入HTML,上游核对/分析层关联
